timestamp,exchange,symbol,last_price,bid_price,bid_size,ask_price,ask_size
1769171520.0,okx,BTC/USDT,89280.0,89279.9,1.0303734,89280.0,0.23016591
1769171580.0,okx,BTC/USDT,89280.0,89279.9,1.0303734,89280.0,0.23016591
1769171640.0,okx,BTC/USDT,89280.0,89279.9,1.14321544,89280.0,0.09171
1769171700.0,okx,BTC/USDT,89280.0,89279.9,1.14321544,89280.0,0.08941
1769171760.0,okx,BTC/USDT,89280.0,89279.9,1.1368514,89280.0,0.09051
1769171820.0,okx,BTC/USDT,89279.9,89279.9,1.1368514,89280.0,0.09051
1769171880.0,okx,BTC/USDT,89279.9,89279.9,1.1301514,89280.0,0.04961
1769171940.0,okx,BTC/USDT,89279.9,89279.9,1.1301514,89280.0,0.08941
1769172000.0,okx,BTC/USDT,89279.9,89279.9,1.1301514,89280.0,0.06701
1769172060.0,okx,BTC/USDT,89279.9,89279.9,1.1301514,89280.0,0.09051
1769172120.0,okx,BTC/USDT,89279.9,89279.9,1.12546176,89280.0,0.09051
